,index,Job Title,Avg Salary (K),Lower Salary (K),Upper Salary (K),Entry Level,Degree,Job Location (State),Company Name,Founded,Industry,Sector,Rating,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Location,ZIP Codes,Size,Revenue,Job Title (Full),fips
11,11,Data Scientist,85.0,64,106,na,na,VA,ManTech,1968,Research & Development,Business Services,4.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Chantilly,,5001 - 10000,$1 to $2 billion (USD),Data Scientist,51059
12,12,Data Scientist,139.0,106,172,na,MSc,TX,Walmart,1962,"Department, Clothing, & Shoe Stores",Retail,3.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Plano,,10000+,$10+ billion (USD),Staff Data Scientist - Technology,48085
13,13,Data Analyst,65.5,46,85,na,na,WA,Yesler,2012,Advertising & Marketing,Business Services,4.1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,Seattle,,201 - 500,Unknown / Non-Applicable,Data Analyst,53033
14,14,Data Scientist,113.5,83,144,na,MSc,MA,Takeda Pharmaceuticals,1781,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.7,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Cambridge,,10000+,$10+ billion (USD),Data Scientist,
15,15,Data Engineer,146.0,102,190,na,na,NJ,Audible,1995,Motion Picture Production & Distribution,Media,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Newark,,1001 - 5000,Unknown / Non-Applicable,Data Engineer I,34013
16,16,Other Scientist,102.0,67,137,na,Phd,MA,Blueprint Medicines,2011,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cambridge,,51 - 200,$1 to $5 million (USD),"Scientist I/II, Biology",
17,17,Data Scientist,153.5,118,189,na,MSc,CA,h2o.ai,2011,Enterprise Software & Network Solutions,Information Technology,4.3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Mountain View,,201 - 500,Unknown / Non-Applicable,Customer Data Scientist,06085
18,18,Data Scientist,142.5,110,175,na,na,CA,Nuna,2010,Enterprise Software & Network Solutions,Information Technology,4.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,San Francisco,,51 - 200,Unknown / Non-Applicable,Data Scientist - Health Data Analytics,06075
19,19,Data Scientist,87.5,64,111,na,MSc,CO,Pinnacol Assurance,1915,Insurance Carriers,Insurance,4.0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,Denver,,501 - 1000,$500 million to $1 billion (USD),Data Scientist,08031
20,20,Data Scientist,105.5,81,130,na,MSc,WA,Porch,2012,Internet,Information Technology,3.2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Seattle,,201 - 500,Unknown / Non-Applicable,Data Scientist,53033
21,21,Data Scientist,96.0,73,119,Senior,Phd,TX,Health IQ,2013,Insurance Agencies & Brokerages,Insurance,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dallas,,201 - 500,Unknown / Non-Applicable,Senior Data Scientist / Machine Learning,48113
22,22,Data Scientist,112.5,86,139,na,MSc,IL,Truckstop.com,1995,Logistics & Supply Chain,Transportation & Logistics,3.8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,Chicago,,501 - 1000,Unknown / Non-Applicable,Data Scientist - Quantitative,17031
23,23,Data Scientist,84.0,63,105,na,MSc,KY,SMC 3,1935,Logistics & Supply Chain,Transportation & Logistics,4.3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Louisville,,51 - 200,$10 to $25 million (USD),Data Scientist,21111
24,25,Data Scientist,143.0,109,177,na,na,VA,Novetta,2012,Enterprise Software & Network Solutions,Information Technology,4.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Herndon,,501 - 1000,$100 to $500 million (USD),Data Scientist,51059
25,26,Data Scientist,86.5,63,110,na,na,MA,Pfizer,1849,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,4.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Cambridge,,10000+,$10+ billion (USD),Digital Health Data Scientist,
26,27,Data Scientist,99.5,75,124,na,na,OR,First Tech Federal Credit Union,1952,Banks & Credit Unions,Finance,3.5,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,Hillsboro,,1001 - 5000,$100 to $500 million (USD),Data Scientist,41067
27,28,Data Analyst,47.5,34,61,na,na,MA,The Hanover Insurance Group,1852,Insurance Carriers,Insurance,3.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Worcester,,5001 - 10000,$5 to $10 billion (USD),Associate Data Analyst,25027
28,29,Data Scientist,84.0,63,105,na,MSc,CT,Pfizer,1849,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Groton,,10000+,$10+ billion (USD),Clinical Data Scientist,09011
29,30,Data Scientist,85.0,80,90,na,MSc,FL,KnowBe4,2010,Security Services,Business Services,4.8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Clearwater,,501 - 1000,$100 to $500 million (USD),Data Scientist,12103
30,31,Data Scientist,76.5,56,97,na,na,WA,PNNL,1965,Energy,"Oil, Gas, Energy & Utilities",3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Richland,,1001 - 5000,$500 million to $1 billion (USD),Data Scientist,53005
31,32,Data Scientist,96.0,72,120,na,MSc,MI,Amrock,1997,Real Estate,Real Estate,3.6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Detroit,,1001 - 5000,$500 million to $1 billion (USD),Data Scientist,26163
32,33,Data Scientist,114.5,86,143,na,na,MA,Novartis,1996,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Cambridge,,10000+,$10+ billion (USD),Data Scientist / Machine Learning Expert,
33,34,Data Scientist,121.0,93,149,na,MSc,CA,Juniper Networks,1996,Telecommunications Services,Telecommunications,3.8,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,Sunnyvale,,5001 - 10000,$2 to $5 billion (USD),Data Scientist,06085
34,35,Data Scientist,112.5,85,140,na,na,MA,New England Biolabs,1974,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,4.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ipswich,,201 - 500,Unknown / Non-Applicable,Data Scientist,25025
35,36,Data Analyst,106.0,77,135,na,na,CA,Clarity Insights,2008,IT Services,Information Technology,4.2,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,San Jose,,201 - 500,Unknown / Non-Applicable,Web Data Analyst,06085
36,37,Data Scientist,107.0,82,132,na,MSc,CA,Esri,1969,Computer Hardware & Software,Information Technology,3.5,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,Redlands,,1001 - 5000,$1 to $2 billion (USD),Data Scientist,06071
37,38,Data Scientist,110.0,83,137,na,Phd,MA,Systems & Technology Research,2010,Aerospace & Defense,Aerospace & Defense,4.7,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,Woburn,,201 - 500,$100 to $500 million (USD),Data Scientist,25017
38,39,Data Scientist,147.5,115,180,Senior,MSc,CA,Sartorius,1870,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fremont,,5001 - 10000,$1 to $2 billion (USD),Senior Data Scientist,06001
39,40,Data Engineer,106.0,74,138,na,MSc,NY,Lancer Insurance,1985,Insurance Carriers,Insurance,3.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Long Beach,,201 - 500,$100 to $500 million (USD),Data Engineer,36059
40,41,Data Analyst,88.0,64,112,na,na,CA,Sauce Labs,2008,IT Services,Information Technology,4.2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,San Francisco,,201 - 500,$50 to $100 million (USD),Data Analyst,06075
41,43,Data Engineer,98.5,68,129,na,na,MA,Persivia,na,na,na,3.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Marlborough,,1 - 50,Less than $1 million (USD),Data Engineer,25017
42,44,Data Scientist,142.5,110,175,na,MSc,CA,Nuna,2010,Enterprise Software & Network Solutions,Information Technology,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Francisco,,51 - 200,Unknown / Non-Applicable,Data Scientist - Algorithms & Inference,06075
43,45,Other Scientist,82.5,52,113,na,MSc,NJ,Edgewell Personal Care,2015,Consumer Products Manufacturing,Manufacturing,3.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Allendale,,5001 - 10000,$2 to $5 billion (USD),Scientist,34003
44,46,Data Scientist,130.0,110,150,Senior,MSc,IL,Equity Residential,1993,Real Estate,Real Estate,4.3,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,Chicago,,1001 - 5000,$2 to $5 billion (USD),Senior Data Scientist,17031
45,48,Data Scientist,155.0,150,160,na,na,DC,BPA Services,na,Enterprise Software & Network Solutions,Information Technology,5.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Washington,,unknown,Unknown / Non-Applicable,Data Scientist,11001
46,49,Data Scientist,184.5,158,211,Senior,na,WA,Visa Inc.,1958,IT Services,Information Technology,3.7,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Bellevue,,10000+,$10+ billion (USD),Lead Data Scientist,53033
47,50,Data Analyst,29.5,20,39,na,MSc,CO,Intrado,1986,Enterprise Software & Network Solutions,Information Technology,3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Longmont,,5001 - 10000,$2 to $5 billion (USD),Associate Data Analyst,08013
48,51,Other Scientist,86.5,56,117,na,MSc,OH,Centauri,1999,Aerospace & Defense,Aerospace & Defense,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beavercreek,,501 - 1000,$100 to $500 million (USD),Spectral Scientist/Engineer,39057
49,52,Data Scientist,81.0,63,99,na,na,IL,Caterpillar,1925,Industrial Manufacturing,Manufacturing,3.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Peoria,,10000+,$10+ billion (USD),College Hire - Data Scientist - Open to December 2019 Graduates,17143
50,54,Data Scientist,91.0,68,114,na,na,FL,Zimmerman Advertising,1984,Advertising & Marketing,Business Services,3.8,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,Fort Lauderdale,,501 - 1000,Unknown / Non-Applicable,Data Scientist,12011
51,55,Data Scientist,114.5,86,143,na,na,MA,Liberty Mutual Insurance,1912,Insurance Carriers,Insurance,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,,10000+,$10+ billion (USD),"Data Scientist, Office of Data Science",25025
52,56,Data Scientist,68.0,41,95,na,na,AL,"Torch Technologies, Inc.",2002,Aerospace & Defense,Aerospace & Defense,4.6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Huntsville,,1001 - 5000,$100 to $500 million (USD),Data Science Analyst,01089
53,57,Data Scientist,115.0,86,144,na,MSc,NY,Swiss Re,1863,Insurance Agencies & Brokerages,Insurance,3.7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Armonk,,10000+,$10+ billion (USD),Data Scientist,
54,58,Data Scientist,109.5,80,139,na,na,CA,Northrop Grumman,1939,Aerospace & Defense,Aerospace & Defense,3.7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,San Diego,,10000+,$10+ billion (USD),Data Scientist,06073
55,59,Data Scientist,75.5,56,95,na,MSc,NM,Sartorius,1870,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Albuquerque,,5001 - 10000,$1 to $2 billion (USD),Data Scientist,35001
56,60,Data Scientist,154.5,120,189,na,Phd,CA,Netskope,2012,Enterprise Software & Network Solutions,Information Technology,4.1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,San Francisco,,501 - 1000,Unknown / Non-Applicable,Data Scientist,06075
57,61,Data Scientist,143.5,111,176,na,na,MO,1904labs,2016,IT Services,Information Technology,4.7,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Saint Louis,,51 - 200,Unknown / Non-Applicable,Data Scientist,29510
58,62,Data Scientist,73.5,54,93,na,na,MD,ClearOne Advantage,2008,Banks & Credit Unions,Finance,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Baltimore,,501 - 1000,Unknown / Non-Applicable,Data Scientist,24510
59,63,Data Scientist,95.0,71,119,na,na,TX,CyrusOne,2000,Real Estate,Real Estate,3.4,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Dallas,,201 - 500,$1 to $2 billion (USD),Data Scientist,48113
60,65,Data Scientist,107.0,82,132,Senior,MSc,OH,The David J. Joseph Company,1885,Metals Brokers,Mining & Metals,4.4,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,Cincinnati,,201 - 500,Unknown / Non-Applicable,Senior Data Scientist,39061
61,66,Data Scientist,115.0,84,146,na,na,NY,USEReady,2011,Consulting,Business Services,4.3,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,New York,,201 - 500,$10 to $25 million (USD),Data Scientist,36061
62,67,Data Scientist,139.5,107,172,Senior,MSc,CA,Bill.com,2006,Financial Transaction Processing,Finance,3.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Palo Alto,,501 - 1000,$50 to $100 million (USD),Senior Risk Data Scientist,06085
63,68,Data Scientist,67.0,49,85,na,MSc,WA,Pacific Northwest National Laboratory,1965,Energy,"Oil, Gas, Energy & Utilities",3.8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Richland,,1001 - 5000,$500 million to $1 billion (USD),Data Scientist in Artificial Intelligence Early Career,53005
64,70,Data Scientist,85.0,61,109,na,MSc,PA,DICK'S Sporting Goods - Corporate,1948,Sporting Goods Stores,Retail,3.8,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Coraopolis,,10000+,$5 to $10 billion (USD),Data Scientist,42003
65,72,Data Scientist,118.0,88,148,na,Phd,MA,Berg Health,2006,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,2.8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Framingham,,51 - 200,$1 to $5 million (USD),Data Scientist,25017
66,73,Data Scientist,79.5,60,99,na,na,GA,Oversight Systems,2003,Computer Hardware & Software,Information Technology,4.7,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,Atlanta,,51 - 200,$25 to $50 million (USD),Data Scientist,13121
67,75,Data Scientist,56.5,41,72,na,na,MA,C Space,1999,Advertising & Marketing,Business Services,3.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Boston,,201 - 500,$100 to $500 million (USD),Data Scientist - Research,25025
68,76,Data Scientist,128.5,96,161,na,na,PA,"Numeric, LLC",na,Staffing & Outsourcing,Business Services,3.2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Philadelphia,,1 - 50,$5 to $10 million (USD),Data Scientist,42101
69,77,Other Scientist,97.5,65,130,na,MSc,WA,HP Inc.,1939,Computer Hardware & Software,Information Technology,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vancouver,,10000+,Unknown / Non-Applicable,R&D Data Analysis Scientist,53011
70,78,Data Analyst,66.5,52,81,na,na,IN,SpringML,2015,Enterprise Software & Network Solutions,Information Technology,4.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Indianapolis,,1 - 50,Unknown / Non-Applicable,Analytics Consultant,18097
71,79,Data Scientist,179.5,139,220,na,MSc,IL,Grainger,1927,Wholesale,Business Services,3.6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Lake Forest,,10000+,$10+ billion (USD),"Director, Data Science",17097
72,80,Other Scientist,76.0,50,102,na,Phd,MO,EAG Laboratories,1978,Research & Development,Business Services,2.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Maryland Heights,,501 - 1000,$50 to $100 million (USD),Scientist,29189
73,81,Data Scientist,112.0,85,139,Senior,MSc,VA,The Buffalo Group,2010,IT Services,Information Technology,3.9,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Charlottesville,,501 - 1000,$100 to $500 million (USD),Data Scientist SR,51540
74,82,Data Scientist,98.0,74,122,na,MSc,PA,Carmeuse,1860,Mining,Mining & Metals,3.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Pittsburgh,,1001 - 5000,$1 to $2 billion (USD),Data Scientist,42003
75,83,Data Scientist,128.0,99,157,Senior,MSc,WA,HP Inc.,1939,Computer Hardware & Software,Information Technology,4.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Vancouver,,10000+,Unknown / Non-Applicable,R&D Sr Data Scientist,53011
76,84,Data Scientist,150.5,79,222,na,Phd,CA,h2o.ai,2011,Enterprise Software & Network Solutions,Information Technology,4.3,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,Mountain View,,201 - 500,Unknown / Non-Applicable,Customer Data Scientist/Sales Engineer (Bay,06085
77,85,Other Scientist,87.5,57,118,na,MSc,MA,GNS Healthcare,2000,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cambridge,,51 - 200,$10 to $25 million (USD),Research Scientist,
78,86,Data Scientist,110.0,83,137,na,na,VA,Peraton,2017,Aerospace & Defense,Aerospace & Defense,3.3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Chantilly,,1001 - 5000,$1 to $2 billion (USD),Data Scientist,51059
79,87,Data Scientist,113.5,86,141,na,na,CA,Pactera,1995,IT Services,Information Technology,4.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,San Jose,,10000+,$500 million to $1 billion (USD),Data Scientist,06085
80,88,Data Scientist,124.0,94,154,na,na,CA,Nurx,2016,Health Care Services & Hospitals,Health Care,3.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,San Francisco,,51 - 200,$1 to $5 million (USD),Data Scientist,06075
81,89,Data Analyst,56.5,37,76,Junior,na,PA,webfx.com,1997,Advertising & Marketing,Business Services,4.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Harrisburg,,201 - 500,$25 to $50 million (USD),Jr. Business Data Analyst,42043
82,90,Data Scientist,130.0,100,160,na,na,MD,Johns Hopkins University Applied Physics Laboratory,1942,Aerospace & Defense,Aerospace & Defense,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Laurel,,5001 - 10000,$1 to $2 billion (USD),Data Scientist,24033
83,91,Data Analyst,77.5,55,100,na,na,IL,Productive Edge,2008,Computer Hardware & Software,Information Technology,4.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Chicago,,51 - 200,$10 to $25 million (USD),Data Analyst,17031
84,92,Data Engineer,87.0,60,114,na,na,VA,Excella Consulting,2002,Consulting,Business Services,4.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Arlington,,201 - 500,$50 to $100 million (USD),Data Engineer,51013
85,93,Data Analyst,53.5,39,68,na,na,WA,Gensco,1948,Wholesale,Business Services,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tacoma,,501 - 1000,$100 to $500 million (USD),Data Analyst,53053
86,94,Data Scientist,139.0,106,172,na,MSc,TX,Walmart,1962,"Department, Clothing, & Shoe Stores",Retail,3.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Plano,,10000+,$10+ billion (USD),Staff Data Scientist - Technology,48085
87,95,Data Scientist,114.0,86,142,na,MSc,CA,Logic20/20,2005,Consulting,Business Services,3.8,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,San Jose,,201 - 500,$25 to $50 million (USD),Data Scientist,06085
88,96,Data Scientist,85.5,64,107,na,na,FL,goTRG,2008,Enterprise Software & Network Solutions,Information Technology,4.2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Miami,,501 - 1000,$100 to $500 million (USD),Data Scientist,12086
89,97,Other Scientist,48.0,31,65,na,na,AL,NMR Consulting,1996,IT Services,Information Technology,4.5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Huntsville,,51 - 200,$25 to $50 million (USD),Data Management Specialist,01089
90,99,Data Analyst,48.0,34,62,na,na,LA,iSeatz,1999,Enterprise Software & Network Solutions,Information Technology,3.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,New Orleans,,51 - 200,Unknown / Non-Applicable,E-Commerce Data Analyst,22071
91,101,Other Scientist,174.0,117,231,Senior,MSc,CA,Nektar Therapeutics,1990,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,San Francisco,,201 - 500,$100 to $500 million (USD),Sr. Scientist II,06075
92,102,Data Scientist,85.0,64,106,na,na,GA,TransUnion,1968,Financial Analytics & Research,Finance,3.9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Atlanta,,5001 - 10000,$1 to $2 billion (USD),Insurance Data Scientist,13121
93,104,Data Modeler,106.5,79,134,na,na,MD,IT Concepts,2003,IT Services,Information Technology,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Landover,,51 - 200,$10 to $25 million (USD),Data Modeler,
94,105,Data Analyst,72.5,52,93,na,na,MD,Scientific Research Corporation,1988,IT Services,Information Technology,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Patuxent River,,1001 - 5000,$100 to $500 million (USD),Data Analyst / Scientist,
95,106,Other Scientist,85.5,55,116,na,MSc,MD,General Dynamics Information Technology,1996,IT Services,Information Technology,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suitland,,10000+,$10+ billion (USD),Scientist,24033
96,107,Data Scientist,97.5,72,123,na,na,VA,MITRE,1958,Federal Agencies,Government,3.2,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,McLean,,5001 - 10000,$1 to $2 billion (USD),Data Scientist,51059
97,108,Data Scientist,99.0,74,124,na,na,VA,The Buffalo Group,2010,IT Services,Information Technology,3.9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Fort Belvoir,,501 - 1000,$100 to $500 million (USD),Data Scientist,51059
98,109,Data Analyst,56.5,40,73,na,na,WI,DentaQuest,2001,Insurance Carriers,Insurance,3.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Milwaukee,,1001 - 5000,$2 to $5 billion (USD),Data Analyst,55079
99,110,Data Scientist,133.0,102,164,Senior,na,MD,Redjack,2007,IT Services,Information Technology,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Silver Spring,,1 - 50,Unknown / Non-Applicable,Lead Data Scientist,24031
100,112,Data Scientist,121.0,89,153,na,na,NY,7Park Data,2012,Research & Development,Business Services,3.8,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,New York,,51 - 200,Unknown / Non-Applicable,Data Scientist,36061
101,113,Data Scientist,85.5,61,110,na,MSc,NY,Rapid Response Monitoring,1992,Security Services,Business Services,4.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Syracuse,,501 - 1000,Unknown / Non-Applicable,Data Scientist,36067
102,116,Data Scientist,87.5,65,110,na,na,TX,Trilogy Ed,2015,Education Training Services,Education,4.3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Houston,,1001 - 5000,Unknown / Non-Applicable,"Data Scientist, Rice University",48225
103,117,Data Scientist,237.5,200,275,Senior,MSc,DC,Gallup,1935,Consulting,Business Services,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Washington,,1001 - 5000,Unknown / Non-Applicable,Senior Data Scientist,11001
104,118,Data Engineer,95.5,68,123,na,MSc,NC,CapTech,1997,IT Services,Information Technology,3.9,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Charlotte,,1001 - 5000,$100 to $500 million (USD),Data Engineer,37119
105,119,Data Scientist,104.5,80,129,Senior,MSc,MI,American Axle & Manufacturing,1994,Transportation Equipment Manufacturing,Manufacturing,3.3,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,Southfield,,10000+,$5 to $10 billion (USD),Senior Data Scientist,26125
