index,Job Title,Avg Salary (K),Lower Salary (K),Upper Salary (K),Entry Level,Degree,Job Location (State),Company Name,Founded,Industry,Sector,Rating,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Location,ZIP Codes,Size,Revenue,Job Title (Full)
49,Data Scientist,184.5,158,211,Senior,na,WA,Visa Inc.,1958,IT Services,Information Technology,3.7,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Bellevue,,10000+,$10+ billion (USD),Lead Data Scientist
50,Data Analyst,29.5,20,39,na,MSc,CO,Intrado,1986,Enterprise Software & Network Solutions,Information Technology,3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Longmont,,5001 - 10000,$2 to $5 billion (USD),Associate Data Analyst
51,Other Scientist,86.5,56,117,na,MSc,OH,Centauri,1999,Aerospace & Defense,Aerospace & Defense,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beavercreek,,501 - 1000,$100 to $500 million (USD),Spectral Scientist/Engineer
52,Data Scientist,81.0,63,99,na,na,IL,Caterpillar,1925,Industrial Manufacturing,Manufacturing,3.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Peoria,,10000+,$10+ billion (USD),College Hire - Data Scientist - Open to December 2019 Graduates
54,Data Scientist,91.0,68,114,na,na,FL,Zimmerman Advertising,1984,Advertising & Marketing,Business Services,3.8,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,Fort Lauderdale,,501 - 1000,Unknown / Non-Applicable,Data Scientist
55,Data Scientist,114.5,86,143,na,na,MA,Liberty Mutual Insurance,1912,Insurance Carriers,Insurance,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,,10000+,$10+ billion (USD),"Data Scientist, Office of Data Science"
56,Data Scientist,68.0,41,95,na,na,AL,"Torch Technologies, Inc.",2002,Aerospace & Defense,Aerospace & Defense,4.6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Huntsville,,1001 - 5000,$100 to $500 million (USD),Data Science Analyst
57,Data Scientist,115.0,86,144,na,MSc,NY,Swiss Re,1863,Insurance Agencies & Brokerages,Insurance,3.7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Armonk,,10000+,$10+ billion (USD),Data Scientist
58,Data Scientist,109.5,80,139,na,na,CA,Northrop Grumman,1939,Aerospace & Defense,Aerospace & Defense,3.7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,San Diego,,10000+,$10+ billion (USD),Data Scientist
59,Data Scientist,75.5,56,95,na,MSc,NM,Sartorius,1870,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Albuquerque,,5001 - 10000,$1 to $2 billion (USD),Data Scientist
60,Data Scientist,154.5,120,189,na,Phd,CA,Netskope,2012,Enterprise Software & Network Solutions,Information Technology,4.1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,San Francisco,,501 - 1000,Unknown / Non-Applicable,Data Scientist
61,Data Scientist,143.5,111,176,na,na,MO,1904labs,2016,IT Services,Information Technology,4.7,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Saint Louis,,51 - 200,Unknown / Non-Applicable,Data Scientist
62,Data Scientist,73.5,54,93,na,na,MD,ClearOne Advantage,2008,Banks & Credit Unions,Finance,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Baltimore,,501 - 1000,Unknown / Non-Applicable,Data Scientist
63,Data Scientist,95.0,71,119,na,na,TX,CyrusOne,2000,Real Estate,Real Estate,3.4,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Dallas,,201 - 500,$1 to $2 billion (USD),Data Scientist
65,Data Scientist,107.0,82,132,Senior,MSc,OH,The David J. Joseph Company,1885,Metals Brokers,Mining & Metals,4.4,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,Cincinnati,,201 - 500,Unknown / Non-Applicable,Senior Data Scientist
66,Data Scientist,115.0,84,146,na,na,NY,USEReady,2011,Consulting,Business Services,4.3,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,New York,,201 - 500,$10 to $25 million (USD),Data Scientist
67,Data Scientist,139.5,107,172,Senior,MSc,CA,Bill.com,2006,Financial Transaction Processing,Finance,3.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Palo Alto,,501 - 1000,$50 to $100 million (USD),Senior Risk Data Scientist
68,Data Scientist,67.0,49,85,na,MSc,WA,Pacific Northwest National Laboratory,1965,Energy,"Oil, Gas, Energy & Utilities",3.8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Richland,,1001 - 5000,$500 million to $1 billion (USD),Data Scientist in Artificial Intelligence Early Career
70,Data Scientist,85.0,61,109,na,MSc,PA,DICK'S Sporting Goods - Corporate,1948,Sporting Goods Stores,Retail,3.8,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Coraopolis,,10000+,$5 to $10 billion (USD),Data Scientist
72,Data Scientist,118.0,88,148,na,Phd,MA,Berg Health,2006,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,2.8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Framingham,,51 - 200,$1 to $5 million (USD),Data Scientist
73,Data Scientist,79.5,60,99,na,na,GA,Oversight Systems,2003,Computer Hardware & Software,Information Technology,4.7,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,Atlanta,,51 - 200,$25 to $50 million (USD),Data Scientist
75,Data Scientist,56.5,41,72,na,na,MA,C Space,1999,Advertising & Marketing,Business Services,3.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Boston,,201 - 500,$100 to $500 million (USD),Data Scientist - Research
76,Data Scientist,128.5,96,161,na,na,PA,"Numeric, LLC",na,Staffing & Outsourcing,Business Services,3.2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Philadelphia,,1 - 50,$5 to $10 million (USD),Data Scientist
77,Other Scientist,97.5,65,130,na,MSc,WA,HP Inc.,1939,Computer Hardware & Software,Information Technology,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vancouver,,10000+,Unknown / Non-Applicable,R&D Data Analysis Scientist
78,Data Analyst,66.5,52,81,na,na,IN,SpringML,2015,Enterprise Software & Network Solutions,Information Technology,4.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Indianapolis,,1 - 50,Unknown / Non-Applicable,Analytics Consultant
79,Data Scientist,179.5,139,220,na,MSc,IL,Grainger,1927,Wholesale,Business Services,3.6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Lake Forest,,10000+,$10+ billion (USD),"Director, Data Science"
80,Other Scientist,76.0,50,102,na,Phd,MO,EAG Laboratories,1978,Research & Development,Business Services,2.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Maryland Heights,,501 - 1000,$50 to $100 million (USD),Scientist
81,Data Scientist,112.0,85,139,Senior,MSc,VA,The Buffalo Group,2010,IT Services,Information Technology,3.9,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Charlottesville,,501 - 1000,$100 to $500 million (USD),Data Scientist SR
82,Data Scientist,98.0,74,122,na,MSc,PA,Carmeuse,1860,Mining,Mining & Metals,3.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Pittsburgh,,1001 - 5000,$1 to $2 billion (USD),Data Scientist
83,Data Scientist,128.0,99,157,Senior,MSc,WA,HP Inc.,1939,Computer Hardware & Software,Information Technology,4.0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Vancouver,,10000+,Unknown / Non-Applicable,R&D Sr Data Scientist
84,Data Scientist,150.5,79,222,na,Phd,CA,h2o.ai,2011,Enterprise Software & Network Solutions,Information Technology,4.3,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,Mountain View,,201 - 500,Unknown / Non-Applicable,Customer Data Scientist/Sales Engineer (Bay
85,Other Scientist,87.5,57,118,na,MSc,MA,GNS Healthcare,2000,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cambridge,,51 - 200,$10 to $25 million (USD),Research Scientist
86,Data Scientist,110.0,83,137,na,na,VA,Peraton,2017,Aerospace & Defense,Aerospace & Defense,3.3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Chantilly,,1001 - 5000,$1 to $2 billion (USD),Data Scientist
87,Data Scientist,113.5,86,141,na,na,CA,Pactera,1995,IT Services,Information Technology,4.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,San Jose,,10000+,$500 million to $1 billion (USD),Data Scientist
88,Data Scientist,124.0,94,154,na,na,CA,Nurx,2016,Health Care Services & Hospitals,Health Care,3.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,San Francisco,,51 - 200,$1 to $5 million (USD),Data Scientist
89,Data Analyst,56.5,37,76,Junior,na,PA,webfx.com,1997,Advertising & Marketing,Business Services,4.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Harrisburg,,201 - 500,$25 to $50 million (USD),Jr. Business Data Analyst
90,Data Scientist,130.0,100,160,na,na,MD,Johns Hopkins University Applied Physics Laboratory,1942,Aerospace & Defense,Aerospace & Defense,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Laurel,,5001 - 10000,$1 to $2 billion (USD),Data Scientist
91,Data Analyst,77.5,55,100,na,na,IL,Productive Edge,2008,Computer Hardware & Software,Information Technology,4.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Chicago,,51 - 200,$10 to $25 million (USD),Data Analyst
92,Data Engineer,87.0,60,114,na,na,VA,Excella Consulting,2002,Consulting,Business Services,4.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Arlington,,201 - 500,$50 to $100 million (USD),Data Engineer
93,Data Analyst,53.5,39,68,na,na,WA,Gensco,1948,Wholesale,Business Services,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tacoma,,501 - 1000,$100 to $500 million (USD),Data Analyst
94,Data Scientist,139.0,106,172,na,MSc,TX,Walmart,1962,"Department, Clothing, & Shoe Stores",Retail,3.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Plano,,10000+,$10+ billion (USD),Staff Data Scientist - Technology
95,Data Scientist,114.0,86,142,na,MSc,CA,Logic20/20,2005,Consulting,Business Services,3.8,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,San Jose,,201 - 500,$25 to $50 million (USD),Data Scientist
96,Data Scientist,85.5,64,107,na,na,FL,goTRG,2008,Enterprise Software & Network Solutions,Information Technology,4.2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Miami,,501 - 1000,$100 to $500 million (USD),Data Scientist
97,Other Scientist,48.0,31,65,na,na,AL,NMR Consulting,1996,IT Services,Information Technology,4.5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Huntsville,,51 - 200,$25 to $50 million (USD),Data Management Specialist
99,Data Analyst,48.0,34,62,na,na,LA,iSeatz,1999,Enterprise Software & Network Solutions,Information Technology,3.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,New Orleans,,51 - 200,Unknown / Non-Applicable,E-Commerce Data Analyst
101,Other Scientist,174.0,117,231,Senior,MSc,CA,Nektar Therapeutics,1990,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,San Francisco,,201 - 500,$100 to $500 million (USD),Sr. Scientist II
102,Data Scientist,85.0,64,106,na,na,GA,TransUnion,1968,Financial Analytics & Research,Finance,3.9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Atlanta,,5001 - 10000,$1 to $2 billion (USD),Insurance Data Scientist
104,Data Modeler,106.5,79,134,na,na,MD,IT Concepts,2003,IT Services,Information Technology,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Landover,,51 - 200,$10 to $25 million (USD),Data Modeler
105,Data Analyst,72.5,52,93,na,na,MD,Scientific Research Corporation,1988,IT Services,Information Technology,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Patuxent River,,1001 - 5000,$100 to $500 million (USD),Data Analyst / Scientist
106,Other Scientist,85.5,55,116,na,MSc,MD,General Dynamics Information Technology,1996,IT Services,Information Technology,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suitland,,10000+,$10+ billion (USD),Scientist
107,Data Scientist,97.5,72,123,na,na,VA,MITRE,1958,Federal Agencies,Government,3.2,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,McLean,,5001 - 10000,$1 to $2 billion (USD),Data Scientist
108,Data Scientist,99.0,74,124,na,na,VA,The Buffalo Group,2010,IT Services,Information Technology,3.9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Fort Belvoir,,501 - 1000,$100 to $500 million (USD),Data Scientist
109,Data Analyst,56.5,40,73,na,na,WI,DentaQuest,2001,Insurance Carriers,Insurance,3.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Milwaukee,,1001 - 5000,$2 to $5 billion (USD),Data Analyst
110,Data Scientist,133.0,102,164,Senior,na,MD,Redjack,2007,IT Services,Information Technology,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Silver Spring,,1 - 50,Unknown / Non-Applicable,Lead Data Scientist
112,Data Scientist,121.0,89,153,na,na,NY,7Park Data,2012,Research & Development,Business Services,3.8,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,New York,,51 - 200,Unknown / Non-Applicable,Data Scientist
113,Data Scientist,85.5,61,110,na,MSc,NY,Rapid Response Monitoring,1992,Security Services,Business Services,4.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Syracuse,,501 - 1000,Unknown / Non-Applicable,Data Scientist
116,Data Scientist,87.5,65,110,na,na,TX,Trilogy Ed,2015,Education Training Services,Education,4.3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Houston,,1001 - 5000,Unknown / Non-Applicable,"Data Scientist, Rice University"
117,Data Scientist,237.5,200,275,Senior,MSc,DC,Gallup,1935,Consulting,Business Services,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Washington,,1001 - 5000,Unknown / Non-Applicable,Senior Data Scientist
118,Data Engineer,95.5,68,123,na,MSc,NC,CapTech,1997,IT Services,Information Technology,3.9,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Charlotte,,1001 - 5000,$100 to $500 million (USD),Data Engineer
119,Data Scientist,104.5,80,129,Senior,MSc,MI,American Axle & Manufacturing,1994,Transportation Equipment Manufacturing,Manufacturing,3.3,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,Southfield,,10000+,$5 to $10 billion (USD),Senior Data Scientist
120,Data Analyst,56.5,41,72,na,na,NJ,CentralReach,2012,Computer Hardware & Software,Information Technology,4.7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Matawan,,201 - 500,Unknown / Non-Applicable,Financial Data Analyst
122,Data Analyst,55.0,39,71,Senior,na,AZ,Integrate,2010,Enterprise Software & Network Solutions,Information Technology,4.3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Phoenix,,201 - 500,$25 to $50 million (USD),Senior Data Analyst
123,Other Scientist,61.5,38,85,na,Phd,NE,Boys Town Hospital,1977,Health Care Services & Hospitals,Health Care,2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Omaha,,1001 - 5000,Unknown / Non-Applicable,Research Scientist
124,Data Scientist,157.0,121,193,na,na,CA,Demandbase,2006,Computer Hardware & Software,Information Technology,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,San Francisco,,201 - 500,$100 to $500 million (USD),Data Scientist
125,Data Engineer,78.0,54,102,na,na,NJ,Sapphire Digital,2019,Internet,Information Technology,3.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Lyndhurst,,201 - 500,Unknown / Non-Applicable,Data Engineer
